sigma,sigma_blur,global_auroc,global_auroc_wo_sid,ADM AUROC,CollabDiff AUROC,SID AUROC
0.004,0.3,0.515265,0.707102,0.49747,0.898358,0.299689
0.004,0.35,0.538845,0.750217,0.563248,0.903916,0.311267
0.004,0.4,0.614618,0.831552,0.767692,0.901358,0.363885
0.004,0.45,0.657004,0.810345,0.851704,0.790924,0.476237
0.004,0.5,0.678636,0.73572,0.87182,0.580318,0.61141
0.004,0.55,0.705896,0.702676,0.875992,0.47924,0.707002
0.004,0.6,0.727112,0.696341,0.877552,0.456246,0.758591
0.004,0.65,0.740267,0.695043,0.878212,0.450308,0.786109
0.004,0.7,0.749056,0.695713,0.878324,0.451804,0.802331
0.004,0.75,0.756307,0.699901,0.878196,0.461816,0.811535
0.004,0.8,0.76006,0.700706,0.878044,0.464208,0.817505
0.004,0.85,0.761243,0.698886,0.877684,0.461144,0.821289
0.004,0.9,0.761793,0.697295,0.877288,0.458416,0.823701
0.004,0.95,0.762322,0.696594,0.877056,0.457376,0.825252
0.004,1.0,0.762776,0.696013,0.876952,0.456188,0.826463
0.006,0.3,0.515106,0.706692,0.496944,0.898358,0.299675
0.006,0.35,0.52488,0.721271,0.507886,0.903612,0.307611
0.006,0.4,0.567027,0.798853,0.646954,0.918112,0.315113
0.006,0.45,0.598573,0.829959,0.784706,0.888396,0.33815
0.006,0.5,0.605201,0.78733,0.842876,0.76265,0.396346
0.006,0.55,0.627215,0.751062,0.864516,0.650424,0.482754
0.006,0.6,0.656658,0.736974,0.873992,0.59122,0.560512
0.006,0.65,0.683226,0.73272,0.879752,0.560824,0.622568
0.006,0.7,0.707057,0.734284,0.883724,0.546496,0.672958
0.006,0.75,0.729553,0.751371,0.886028,0.577352,0.704736
0.006,0.8,0.741243,0.757646,0.884596,0.596116,0.724349
0.006,0.85,0.742902,0.749603,0.882236,0.580676,0.736897
0.006,0.9,0.743365,0.741982,0.880616,0.564312,0.746232
0.006,0.95,0.744168,0.737412,0.879596,0.553956,0.753066
0.006,1.0,0.745227,0.734414,0.878852,0.546756,0.758355
0.008,0.3,0.515086,0.706614,0.496824,0.898358,0.299675
0.008,0.35,0.52174,0.712001,0.492656,0.903612,0.307063
0.008,0.4,0.550127,0.772606,0.579514,0.919128,0.308782
0.008,0.45,0.572707,0.820283,0.724952,0.906056,0.307794
0.008,0.5,0.570169,0.798436,0.7992,0.836154,0.321429
0.008,0.55,0.585746,0.775571,0.839392,0.762784,0.371526
0.008,0.6,0.611415,0.763273,0.862572,0.705364,0.434901
0.008,0.65,0.639206,0.757637,0.876012,0.659308,0.498549
0.008,0.7,0.667035,0.758895,0.886212,0.623408,0.557801
0.008,0.75,0.699955,0.789088,0.892004,0.670404,0.598394
0.008,0.8,0.714826,0.800931,0.890148,0.70422,0.618209
0.008,0.85,0.718235,0.797926,0.887016,0.707128,0.629347
0.008,0.9,0.719275,0.792261,0.885188,0.699372,0.638279
0.008,0.95,0.720317,0.788759,0.884752,0.693396,0.645139
0.008,1.0,0.721386,0.786703,0.884636,0.688376,0.65047
0.009,0.3,0.515085,0.70661,0.496816,0.898358,0.299675
0.009,0.35,0.521274,0.71055,0.490588,0.903612,0.306987
0.009,0.4,0.546625,0.76588,0.563658,0.919428,0.307971
0.009,0.45,0.566224,0.815238,0.70578,0.90766,0.302323
0.009,0.5,0.560839,0.798755,0.784524,0.850064,0.306015
0.009,0.55,0.572355,0.77844,0.825556,0.7886,0.343418
0.009,0.6,0.595803,0.767925,0.851836,0.736272,0.398305
0.009,0.65,0.622023,0.760665,0.870424,0.682684,0.459108
0.009,0.7,0.650346,0.761241,0.88355,0.63948,0.519605
0.009,0.75,0.68429,0.794049,0.890352,0.68635,0.560075
0.009,0.8,0.699856,0.80903,0.889536,0.725052,0.577039
0.009,0.85,0.70352,0.808275,0.886232,0.73548,0.585357
0.009,0.9,0.705357,0.804933,0.884668,0.735456,0.593029
0.009,0.95,0.706695,0.802306,0.883828,0.733772,0.5994
0.009,1.0,0.70816,0.800911,0.88356,0.73152,0.604467
0.01,0.3,0.515085,0.70661,0.496816,0.898358,0.299675
0.01,0.35,0.521065,0.709886,0.489684,0.903612,0.306942
0.01,0.4,0.5441,0.760282,0.551576,0.919432,0.307643
0.01,0.45,0.561504,0.810306,0.689184,0.908752,0.299907
0.01,0.5,0.553405,0.796603,0.768656,0.85712,0.297465
0.01,0.55,0.56255,0.779328,0.811386,0.804392,0.326736
0.01,0.6,0.584277,0.770779,0.841912,0.756172,0.375013
0.01,0.65,0.609279,0.763524,0.864044,0.699648,0.432215
0.01,0.7,0.636864,0.763295,0.880588,0.649956,0.491973
0.01,0.75,0.670799,0.796826,0.890428,0.691788,0.531046
0.01,0.8,0.685463,0.812236,0.888144,0.731852,0.544745
0.01,0.85,0.689248,0.813268,0.884756,0.746692,0.550412
0.01,0.9,0.691344,0.811892,0.883456,0.75198,0.55548
0.01,0.95,0.692981,0.810792,0.882964,0.75434,0.560376
0.01,1.0,0.694426,0.810221,0.882804,0.754616,0.564353
0.012,0.3,0.515085,0.70661,0.496816,0.898358,0.299675
0.012,0.35,0.520797,0.709093,0.488656,0.903612,0.306894
0.012,0.4,0.541539,0.753656,0.538244,0.919488,0.307064
0.012,0.45,0.556675,0.80396,0.668786,0.909376,0.297492
0.012,0.5,0.544456,0.792195,0.74914,0.861284,0.288156
0.012,0.55,0.548192,0.775246,0.788556,0.815708,0.308156
0.012,0.6,0.566819,0.768583,0.82236,0.772524,0.347942
0.012,0.65,0.590124,0.761042,0.84943,0.712032,0.400976
0.012,0.7,0.617626,0.760039,0.86977,0.656688,0.460675
0.012,0.75,0.65084,0.794801,0.883824,0.693944,0.497239
0.012,0.8,0.663927,0.811913,0.883296,0.733544,0.504933
0.012,0.85,0.665974,0.814268,0.878824,0.751928,0.504388
0.012,0.9,0.66666,0.813554,0.875884,0.76046,0.504534
0.012,0.95,0.667958,0.81341,0.874932,0.767032,0.506012
0.012,1.0,0.669426,0.813825,0.874836,0.770568,0.508004
0.014,0.3,0.515085,0.70661,0.496816,0.898358,0.299675
0.014,0.35,0.520754,0.708951,0.488552,0.903612,0.306888
0.014,0.4,0.540196,0.749523,0.530952,0.919504,0.306972
0.014,0.45,0.554052,0.799428,0.6562,0.909172,0.296667
0.014,0.5,0.540032,0.788705,0.734896,0.862096,0.285511
