sigma,sigma_blur,top10_for,global_auroc,global_auroc_wo_sid,ADM AUROC,CollabDiff AUROC,SID AUROC
0.004,0.4,global_wo_sid,0.614618,0.831552,0.767692,0.901358,0.363885
0.004,0.6,SID,0.727112,0.696341,0.877552,0.456246,0.758591
0.004,0.65,SID,0.740267,0.695043,0.878212,0.450308,0.786109
0.004,0.7,SID; global,0.749056,0.695713,0.878324,0.451804,0.802331
0.004,0.75,SID; global,0.756307,0.699901,0.878196,0.461816,0.811535
0.004,0.8,SID; global,0.76006,0.700706,0.878044,0.464208,0.817505
0.004,0.85,SID; global,0.761243,0.698886,0.877684,0.461144,0.821289
0.004,0.9,SID; global,0.761793,0.697295,0.877288,0.458416,0.823701
0.004,0.95,SID; global,0.762322,0.696594,0.877056,0.457376,0.825252
0.004,1.0,SID; global,0.762776,0.696013,0.876952,0.456188,0.826463
0.006,0.45,global_wo_sid,0.598573,0.829959,0.784706,0.888396,0.33815
0.006,0.75,ADM,0.729553,0.751371,0.886028,0.577352,0.704736
0.006,0.9,global,0.743365,0.741982,0.880616,0.564312,0.746232
0.006,0.95,global,0.744168,0.737412,0.879596,0.553956,0.753066
0.006,1.0,SID; global,0.745227,0.734414,0.878852,0.546756,0.758355
0.008,0.45,global_wo_sid,0.572707,0.820283,0.724952,0.906056,0.307794
0.008,0.7,ADM,0.667035,0.758895,0.886212,0.623408,0.557801
0.008,0.75,ADM,0.699955,0.789088,0.892004,0.670404,0.598394
0.008,0.8,ADM,0.714826,0.800931,0.890148,0.70422,0.618209
0.008,0.85,ADM,0.718235,0.797926,0.887016,0.707128,0.629347
0.009,0.45,global_wo_sid,0.566224,0.815238,0.70578,0.90766,0.302323
0.009,0.75,ADM,0.68429,0.794049,0.890352,0.68635,0.560075
0.009,0.8,ADM,0.699856,0.80903,0.889536,0.725052,0.577039
0.009,0.85,ADM,0.70352,0.808275,0.886232,0.73548,0.585357
0.01,0.75,ADM,0.670799,0.796826,0.890428,0.691788,0.531046
0.01,0.8,ADM; global_wo_sid,0.685463,0.812236,0.888144,0.731852,0.544745
0.01,0.85,global_wo_sid,0.689248,0.813268,0.884756,0.746692,0.550412
0.012,0.85,global_wo_sid,0.665974,0.814268,0.878824,0.751928,0.504388
0.012,0.9,global_wo_sid,0.66666,0.813554,0.875884,0.76046,0.504534
0.012,0.95,global_wo_sid,0.667958,0.81341,0.874932,0.767032,0.506012
0.012,1.0,global_wo_sid,0.669426,0.813825,0.874836,0.770568,0.508004
0.016,0.4,CollabDiff,0.539401,0.747369,0.52762,0.919508,0.306833
0.018,0.4,CollabDiff,0.538986,0.746064,0.525828,0.919508,0.306794
0.02,0.4,CollabDiff,0.538698,0.745133,0.524872,0.919508,0.306774
0.022,0.4,CollabDiff,0.538559,0.744713,0.524232,0.919508,0.306769
0.024,0.4,CollabDiff,0.538542,0.744612,0.524188,0.919508,0.306769
0.026,0.4,CollabDiff,0.538501,0.744487,0.524052,0.919508,0.306769
0.028,0.4,CollabDiff,0.538477,0.744406,0.523948,0.919508,0.306769
0.03,0.4,CollabDiff,0.538451,0.744303,0.523856,0.919508,0.306769
0.032,0.4,CollabDiff,0.538436,0.744246,0.523788,0.919508,0.306769
0.034,0.4,CollabDiff,0.538438,0.744252,0.523804,0.919508,0.306769
